"Time","A9"
08-09-2011 16:30:00,-0.622 m
01-10-2011 02:00:00,-0.534 m
01-11-2011 01:00:00,-0.481 m
01-12-2011 01:00:00,-0.484 m
01-01-2012 01:00:00,-0.549 m
01-02-2012 01:00:00,-0.571 m
01-03-2012 01:00:00,-0.534 m
01-04-2012 02:00:00,-0.487 m
01-05-2012 02:00:00,-0.492 m
01-06-2012 02:00:00,-0.569 m
01-07-2012 02:00:00,-0.612 m
01-08-2012 02:00:00,-0.589 m
01-09-2012 02:00:00,-0.601 m
01-10-2012 02:00:00,-0.475 m
01-11-2012 01:00:00,-0.415 m
01-12-2012 01:00:00,-0.421 m
01-01-2013 01:00:00,-0.357 m
01-02-2013 01:00:00,-0.312 m
01-03-2013 01:00:00,-0.341 m
01-04-2013 02:00:00,-0.341 m
01-05-2013 02:00:00,-0.367 m
01-06-2013 02:00:00,-0.434 m
01-07-2013 02:00:00,-0.492 m
01-08-2013 02:00:00,-0.443 m
01-09-2013 02:00:00,-0.471 m
01-10-2013 02:00:00,-0.362 m
01-11-2013 01:00:00,-0.317 m
01-12-2013 01:00:00,-0.297 m
01-01-2014 01:00:00,-0.268 m
01-02-2014 01:00:00,-0.260 m
01-03-2014 01:00:00,-0.256 m
01-04-2014 02:00:00,-0.235 m
01-05-2014 02:00:00,-0.418 m
01-06-2014 02:00:00,-0.463 m
01-07-2014 02:00:00,-0.291 m
01-08-2014 02:00:00,-0.187 m
01-09-2014 02:00:00,-0.205 m
01-10-2014 02:00:00,-0.182 m
01-11-2014 01:00:00,-0.156 m
01-12-2014 01:00:00,-0.127 m
01-01-2015 01:00:00,-0.148 m
01-02-2015 01:00:00,-0.148 m
01-03-2015 01:00:00,-0.150 m
01-04-2015 02:00:00,-0.154 m
01-05-2015 02:00:00,-0.212 m
01-06-2015 02:00:00,-0.239 m
01-07-2015 02:00:00,-0.297 m
01-08-2015 02:00:00,-0.165 m
01-09-2015 02:00:00,-0.268 m
01-10-2015 02:00:00,-0.185 m
01-11-2015 01:00:00,-0.165 m
01-12-2015 01:00:00,-0.142 m
01-01-2016 01:00:00,-0.132 m
01-02-2016 01:00:00,-0.136 m
01-03-2016 01:00:00,-0.174 m
01-04-2016 02:00:00,-0.100 m
01-05-2016 02:00:00,-0.093 m
01-06-2016 02:00:00,-0.112 m
01-07-2016 02:00:00,-0.168 m
01-08-2016 02:00:00,-0.086 m
01-09-2016 02:00:00,-0.154 m
01-10-2016 02:00:00,-0.141 m
01-11-2016 01:00:00,-0.221 m
01-12-2016 01:00:00,-0.180 m
01-01-2017 01:00:00,-0.286 m
01-02-2017 01:00:00,-0.309 m
01-03-2017 01:00:00,-0.243 m
01-04-2017 02:00:00,-0.271 m
01-05-2017 02:00:00,-0.225 m
01-06-2017 02:00:00,-0.129 m
01-07-2017 02:00:00,-0.104 m
01-08-2017 02:00:00,-0.117 m
01-09-2017 02:00:00,-0.174 m
01-10-2017 02:00:00,-0.172 m
01-11-2017 01:00:00,-0.144 m
01-12-2017 01:00:00,-0.159 m
01-01-2018 01:00:00,-5.318 m
01-02-2018 01:00:00,-5.180 m
01-03-2018 01:00:00,-4.704 m
01-04-2018 02:00:00,-4.392 m
01-05-2018 02:00:00,-4.451 m
01-06-2018 02:00:00,-4.409 m
01-07-2018 02:00:00,-4.418 m
01-08-2018 02:00:00,-4.350 m
01-09-2018 02:00:00,-4.733 m
01-10-2018 02:00:00,-4.524 m
01-11-2018 01:00:00,-4.414 m
01-12-2018 01:00:00,-4.206 m
01-01-2019 01:00:00,-4.428 m
01-02-2019 01:00:00,-4.477 m
01-03-2019 01:00:00,-5.007 m
01-04-2019 02:00:00,-4.957 m
01-05-2019 02:00:00,-4.923 m
01-06-2019 02:00:00,-4.802 m
01-07-2019 02:00:00,-4.887 m
01-08-2019 02:00:00,-4.746 m
01-09-2019 02:00:00,-5.160 m
01-10-2019 02:00:00,-4.981 m
01-11-2019 01:00:00,-4.566 m
01-12-2019 01:00:00,-4.268 m
01-01-2020 01:00:00,-4.698 m
01-02-2020 01:00:00,-4.105 m
01-03-2020 01:00:00,-3.894 m
01-04-2020 02:00:00,-3.842 m
01-05-2020 02:00:00,-4.263 m
01-06-2020 02:00:00,-4.475 m
01-07-2020 02:00:00,-4.864 m
01-08-2020 02:00:00,-4.626 m
01-09-2020 02:00:00,-5.239 m
01-10-2020 02:00:00,-4.810 m
01-11-2020 01:00:00,-5.093 m
01-12-2020 01:00:00,-4.812 m

