"Time","B1"
22-03-2011 12:00:00,0 m
01-04-2011 02:00:00,-0.418 m
01-05-2011 02:00:00,-1.323 m
01-06-2011 02:00:00,-0.564 m
01-07-2011 02:00:00,-0.463 m
01-08-2011 02:00:00,-0.373 m
01-09-2011 02:00:00,-0.333 m
01-10-2011 02:00:00,-0.308 m
01-11-2011 01:00:00,-0.327 m
01-12-2011 01:00:00,-0.351 m
01-01-2012 01:00:00,-0.383 m
01-02-2012 01:00:00,-0.433 m
01-03-2012 01:00:00,-2.122 m
01-04-2012 02:00:00,-2.373 m
01-05-2012 02:00:00,-2.370 m
01-06-2012 02:00:00,-1.780 m
01-07-2012 02:00:00,-0.449 m
01-08-2012 02:00:00,-0.398 m
01-09-2012 02:00:00,-0.438 m
01-10-2012 02:00:00,-0.430 m
01-11-2012 01:00:00,-0.304 m
01-12-2012 01:00:00,-0.444 m
01-01-2013 01:00:00,-0.352 m
01-02-2013 01:00:00,-0.301 m
01-03-2013 01:00:00,-0.338 m
01-04-2013 02:00:00,-0.344 m
01-05-2013 02:00:00,-0.353 m
01-06-2013 02:00:00,-0.378 m
01-07-2013 02:00:00,-0.399 m
01-08-2013 02:00:00,-0.409 m
01-09-2013 02:00:00,-0.417 m
01-10-2013 02:00:00,-0.338 m
01-11-2013 01:00:00,-0.332 m
01-12-2013 01:00:00,-0.337 m
01-01-2014 01:00:00,-0.301 m
01-02-2014 01:00:00,-0.301 m
01-03-2014 01:00:00,-0.315 m
01-04-2014 02:00:00,-0.303 m
01-05-2014 02:00:00,-0.473 m
01-06-2014 02:00:00,-0.451 m
01-07-2014 02:00:00,-0.319 m
01-08-2014 02:00:00,-0.279 m
01-09-2014 02:00:00,-0.249 m
01-10-2014 02:00:00,-0.253 m
01-11-2014 01:00:00,-0.256 m
01-12-2014 01:00:00,-0.287 m
01-01-2015 01:00:00,-0.309 m
01-02-2015 01:00:00,-0.298 m
01-03-2015 01:00:00,-0.309 m
01-04-2015 02:00:00,-0.322 m
01-05-2015 02:00:00,-0.324 m
01-06-2015 02:00:00,-0.334 m
01-07-2015 02:00:00,-0.333 m
01-08-2015 02:00:00,-0.365 m
01-09-2015 02:00:00,-0.360 m
01-10-2015 02:00:00,-0.341 m
01-11-2015 01:00:00,-0.351 m
01-12-2015 01:00:00,-0.376 m
01-01-2016 01:00:00,-0.372 m
01-02-2016 01:00:00,-0.391 m
01-03-2016 01:00:00,-0.385 m
01-04-2016 02:00:00,-0.405 m
01-05-2016 02:00:00,-0.420 m
01-06-2016 02:00:00,-0.423 m
01-07-2016 02:00:00,-0.450 m
01-08-2016 02:00:00,-0.442 m
01-09-2016 02:00:00,-0.454 m
01-10-2016 02:00:00,-0.452 m
01-11-2016 01:00:00,-0.465 m
01-12-2016 01:00:00,-0.477 m
01-01-2017 01:00:00,-0.482 m
01-02-2017 01:00:00,-0.490 m
01-03-2017 01:00:00,-0.505 m
01-04-2017 02:00:00,-0.509 m
01-05-2017 02:00:00,-0.529 m
01-06-2017 02:00:00,-0.529 m
01-07-2017 02:00:00,-0.547 m
01-08-2017 02:00:00,-0.567 m
01-09-2017 02:00:00,-0.574 m
01-10-2017 02:00:00,-0.576 m
01-11-2017 01:00:00,-0.561 m
01-12-2017 01:00:00,-0.567 m
01-01-2018 01:00:00,-5.070 m
01-02-2018 01:00:00,-4.865 m
01-03-2018 01:00:00,-4.578 m
01-04-2018 02:00:00,-4.349 m
01-05-2018 02:00:00,-4.229 m
01-06-2018 02:00:00,-4.190 m
01-07-2018 02:00:00,-4.230 m
01-08-2018 02:00:00,-4.312 m
01-09-2018 02:00:00,-4.489 m
01-10-2018 02:00:00,-4.405 m
01-11-2018 01:00:00,-4.389 m
01-12-2018 01:00:00,-4.330 m
01-01-2019 01:00:00,-4.070 m
01-02-2019 01:00:00,-4.054 m
01-03-2019 01:00:00,-4.056 m
01-04-2019 02:00:00,-3.993 m
01-05-2019 02:00:00,-3.855 m
01-06-2019 02:00:00,-3.873 m
01-07-2019 02:00:00,-3.876 m
01-08-2019 02:00:00,-3.851 m
01-09-2019 02:00:00,-3.856 m
01-10-2019 02:00:00,-3.814 m
01-11-2019 01:00:00,-3.680 m
01-12-2019 01:00:00,-3.408 m
01-01-2020 01:00:00,-3.212 m
01-02-2020 01:00:00,-3.129 m
01-03-2020 01:00:00,-3.093 m
01-04-2020 02:00:00,-3.066 m
01-05-2020 02:00:00,-3.179 m
01-06-2020 02:00:00,-3.280 m
01-07-2020 02:00:00,-3.411 m
01-08-2020 02:00:00,-3.469 m
01-09-2020 02:00:00,-3.652 m
01-10-2020 02:00:00,-3.559 m
01-11-2020 01:00:00,-3.595 m
01-12-2020 01:00:00,-3.472 m

