"Time","CAMP"
04-01-2018 01:00:00,-10.843 m
04-02-2018 01:00:00,-10.802 m
04-03-2018 01:00:00,-14.234 m
04-04-2018 02:00:00,-11.904 m
04-05-2018 02:00:00,-9.248 m
04-06-2018 02:00:00,-9.696 m
04-07-2018 02:00:00,-10.223 m
04-08-2018 02:00:00,-10.552 m
04-09-2018 02:00:00,-10.718 m
04-10-2018 02:00:00,-10.875 m
04-11-2018 01:00:00,-10.193 m
04-12-2018 01:00:00,-9.598 m
01-01-2019 01:00:00,-8.958 m
01-02-2019 01:00:00,-8.166 m
01-03-2019 01:00:00,-8.289 m
01-04-2019 02:00:00,-8.065 m
01-05-2019 02:00:00,-7.519 m
01-06-2019 02:00:00,-8.230 m
01-07-2019 02:00:00,-8.211 m
01-08-2019 02:00:00,-8.229 m
01-09-2019 02:00:00,-8.238 m
01-10-2019 02:00:00,-8.301 m
01-11-2019 01:00:00,-8.359 m
01-12-2019 01:00:00,-8.415 m

