"Time","PIAN"
17-08-2017 12:00:01,-14.998 m
01-09-2017 02:00:02,-15.000 m
01-10-2017 02:00:00,-15.000 m
01-11-2017 01:00:01,-15.000 m
01-12-2017 01:00:02,-15.000 m
01-01-2018 01:00:00,-3.241 m
01-02-2018 01:00:00,-7.520 m
01-03-2018 01:00:00,-7.317 m
01-04-2018 02:00:00,-7.870 m
01-05-2018 02:00:00,-8.219 m
01-06-2018 02:00:00,-8.862 m
01-07-2018 02:00:00,-9.530 m
01-08-2018 02:00:00,-9.964 m
01-09-2018 02:00:00,-9.912 m
01-10-2018 02:00:00,-9.982 m
01-11-2018 01:00:00,-8.596 m
01-12-2018 01:00:00,-8.105 m
01-01-2019 01:00:00,-8.070 m
01-02-2019 01:00:00,-7.733 m
01-03-2019 01:00:00,-8.025 m
01-04-2019 02:00:00,-7.238 m
01-05-2019 02:00:00,-6.897 m
01-06-2019 02:00:00,-7.702 m
01-07-2019 02:00:00,-8.893 m
01-08-2019 02:00:00,-9.449 m
01-09-2019 02:00:00,-9.076 m
01-10-2019 02:00:00,-9.344 m
01-11-2019 01:00:00,-7.607 m
01-12-2019 01:00:00,-7.274 m
01-01-2020 01:00:00,-8.127 m
01-02-2020 01:00:00,-8.421 m
01-03-2020 01:00:00,-7.663 m
01-04-2020 02:00:00,-7.612 m
01-05-2020 02:00:00,-8.023 m
01-06-2020 02:00:00,-8.311 m
01-07-2020 02:00:00,-9.132 m
01-08-2020 02:00:00,-9.621 m
01-09-2020 02:00:00,-9.413 m
01-10-2020 02:00:00,-10.749 m
01-11-2020 01:00:00,-8.185 m
01-12-2020 01:00:00,-7.461 m

