"Time","SECC"
08-03-2016 12:15:00,98.403 m
01-04-2016 02:00:00,71.520 m
02-05-2016 19:15:00,-3.748 m
01-06-2016 02:00:00,-3.412 m
01-07-2016 02:00:00,-2.739 m
01-08-2016 02:00:00,-1.992 m
01-09-2016 02:00:00,-1.639 m
01-10-2016 02:00:00,-2.164 m
01-11-2016 01:00:00,-3.073 m
01-12-2016 01:00:00,-3.489 m
01-01-2017 01:00:00,-2.808 m
01-02-2017 01:00:00,-3.273 m
01-03-2017 01:00:00,-3.529 m
01-04-2017 02:00:00,-3.377 m
01-05-2017 02:00:00,-3.306 m
01-06-2017 02:00:00,-2.384 m
01-07-2017 02:00:00,-1.103 m
01-08-2017 02:00:00,-0.155 m
01-09-2017 02:00:00,-0.468 m
01-10-2017 02:00:00,-0.725 m
01-11-2017 01:00:01,-1.011 m
01-12-2017 01:00:00,-2.299 m
01-01-2018 01:00:00,-2.694 m
01-02-2018 01:00:00,-3.019 m
01-03-2018 01:00:00,-3.149 m
01-04-2018 02:00:00,-2.792 m
01-05-2018 02:00:00,-2.549 m
01-06-2018 02:00:00,-1.995 m
01-07-2018 02:00:00,-1.211 m
01-08-2018 02:00:00,-0.409 m
01-09-2018 02:00:00,-0.338 m
01-10-2018 02:00:00,-0.254 m
01-11-2018 01:00:00,-0.662 m
01-12-2018 01:00:00,-1.530 m
01-01-2019 01:00:00,-1.330 m
01-02-2019 01:00:00,-2.213 m
01-03-2019 01:00:00,-2.057 m
01-04-2019 02:00:00,-2.192 m
01-05-2019 02:00:00,-2.407 m
01-06-2019 02:00:00,-2.143 m
01-07-2019 02:00:00,-1.260 m
01-08-2019 02:45:00,-0.840 m
01-09-2019 02:45:00,-0.957 m
01-10-2019 02:45:00,-0.883 m
01-11-2019 01:45:00,-1.699 m
01-12-2019 01:45:00,-2.693 m
01-01-2020 01:45:00,-2.720 m
01-02-2020 01:45:00,-2.800 m
16-03-2020 17:30:00,-3.147 m
01-04-2020 02:00:00,-3.091 m
01-05-2020 02:00:00,-2.889 m
01-06-2020 02:00:00,-2.823 m
01-07-2020 02:00:00,-2.370 m
01-08-2020 02:00:00,-1.474 m
01-09-2020 02:00:00,-0.929 m
01-10-2020 02:00:00,-1.880 m
01-11-2020 01:00:00,-2.285 m
01-12-2020 01:00:00,-2.825 m

